year,biomass,n2o
1979,4174.84954833984,1.65939137339592
1980,4159.66754150391,1.57244825363159
1981,4281.54736328146,1.83982339501381
1982,3721.81085205078,1.54682219028473
1983,3923.97668457044,1.8030591905117
1984,4021.97241210938,1.67323067784309
1985,3715.56883239746,1.298544049263
1986,3960.65377807654,1.54519730806351
1987,3935.36981201181,1.1967850625515
1988,4510.42541503906,1.72869545221329
1989,3418.44708251953,1.40541496872902
1990,3923.69519042975,1.77822330594063
1991,3493.22265625019,1.32906621694565
1992,3759.49639892578,1.56074044108391
1993,3758.51525878906,1.25734224915504
1994,3836.7535400391,1.36504232883453
1995,3447.16552734392,1.68400654196739
1996,3435.88397216797,1.63038700819016
1997,3023.38299560557,1.51599434018135
1998,3224.22027587891,1.41360282897949
1999,3367.72576904297,1.39384499192238
2000,3441.837890625,1.15548947453499
2001,3589.11917114261,1.17106962203979
2002,3121.97720336929,1.10397577285767
2003,3426.09826660156,1.35984003543854
2004,3235.18939208985,1.35882544517517
2005,3359.88354492198,1.28899443149567
2006,3140.63757324219,1.34553635120392
2007,2981.96630859384,1.30948692560196
2008,2911.36431884777,1.13450428843498
2009,2891.91027832031,1.17094230651855
