year,biomass,n2o
1979,18566.4736328125,3.81781959533691
1980,16518.3913574219,3.20280641317368
1981,15623.8408203125,3.2528583407402
1982,15920.7817382856,3.38454699516296
1983,16247.3798828125,3.90883773565292
1984,16401.7690429688,3.42114818096161
1985,12938.4357910156,2.9207409620285
1986,16815.2060546875,3.34868144989014
1987,17002.0532226563,2.79811191558838
1988,17552.3334960938,3.61056864261627
1989,16084.5141601563,3.63625663518906
1990,15885.872070317,3.79905742406845
1991,15509.7971191406,3.3547483086586
1992,14818.7475585938,3.62953442335129
1993,16932.144287113,3.52211475372314
1994,16565.1616210946,3.3500782251358
1995,15793.4853515625,3.69438695907593
1996,16065.1440429733,4.19742906093597
1997,16155.4611816406,3.87397527694702
1998,15284.9487304688,3.48316383361816
1999,15345.3500976564,3.3540313243866
2000,17076.0610351591,3.12503850460052
2001,18396.806640625,3.7425274848938
2002,16036.6230468757,3.44228488206863
2003,15049.9189453142,3.70563733577728
2004,16882.6948242188,3.89626508951187
2005,14794.1445312513,3.42892533540726
2006,15723.2182617213,3.7380633354187
2007,16241.9091796888,3.60625094175339
2008,17249.6308593765,3.41808903217316
2009,17750.5312500025,3.97305202484131
