year,biomass,n2o
1979,16510.1499023438,3.3064586520195
1980,14251.5141601585,2.67638528347015
1981,12977.5444335938,2.76372212171555
1982,13663.4453125016,2.81317180395126
1983,13958.5019531281,3.30254197120667
1984,13852.3564453125,2.82103544473648
1985,10255.3657226563,2.23938310146332
1986,14495.1237792989,2.75144821405411
1987,14444.9062500016,2.25489842891693
1988,15072.1596679688,3.05465215444565
1989,13836.4235839844,2.98728668689728
1990,13254.3466796877,3.10026657581329
1991,12922.5520019531,2.75661337375641
1992,12277.8383789081,2.86875993013382
1993,14336.93359375,2.85523396730423
1994,14019.6538085945,2.65316319465637
1995,13405.1767578125,2.96181154251099
1996,13310.015625,3.35841524600983
1997,13714.3791503906,3.04565703868866
1998,12430.6982421898,2.73837751150131
1999,12568.5395507813,2.67549002170563
2000,14420.7216796882,2.50767886638641
2001,15930.3095703125,2.99962115287781
2002,13457.6416015625,2.74504673480988
2003,12353.3715820316,2.89548480510712
2004,14322.3408203125,3.11582159996033
2005,11937.3317871124,2.69637823104858
2006,12874.666992188,2.89321553707123
2007,13830.1594238307,2.79225152730942
2008,14555.7856445331,2.70764583349228
2009,15199.1889648451,3.17470645904541
